,,,,,,,,
"01 ALCONA",6114,3460,2654,56.59,"CN260010",26,1,"Alcona County, MI"
"02 ALGER",4615,2868,1747,62.15,"CN260030",26,3,"Alger County, MI"
"03 ALLEGAN",53990,29657,24333,54.93,"PA260800",26,5,"Allegan County, MI"
"04 ALPENA",14690,8436,6254,57.43,"CN260070",26,7,"Alpena County, MI"
"05 ANTRIM",13572,7708,5864,56.79,"CN260090",26,9,"Antrim County, MI"
"06 ARENAC",7968,4401,3567,55.23,"CN260110",26,11,"Arenac County, MI"
"07 BARAGA",3539,1987,1552,56.15,"CN260130",26,13,"Baraga County, MI"
"08 BARRY",29443,16794,12649,57.04,"CN260150",26,15,"Barry County, MI"
"09 BAY",56626,31740,24886,56.05,"PS260070",26,17,"Bay County, MI"
"10 BENZIE",9935,5702,4233,57.39,"CN260190",26,19,"Benzie County, MI"
"11 BERRIEN",72474,39824,32650,54.95,"PA262150",26,21,"Berrien County, MI"
"12 BRANCH",17580,9713,7867,55.25,"CN260230",26,23,"Branch County, MI"
"13 CALHOUN",60388,37070,23318,61.39,"CN260250",26,25,"Calhoun County, MI"
"14 CASS",22391,12344,10047,55.13,"CN260270",26,27,"Cass County, MI"
"15 CHARLEVOIX",14044,8472,5572,60.32,"CN260290",26,29,"Charlevoix County, MI"
"16 CHEBOYGAN",13551,7699,5852,56.81,"CN260310",26,31,"Cheboygan County, MI"
"17 CHIPPEWA",16248,9406,6842,57.89,"CN260330",26,33,"Chippewa County, MI"
"18 CLARE",14245,8350,5895,58.62,"CN260350",26,35,"Clare County, MI"
"19 CLINTON",39372,22076,17296,56.07,"PA261950",26,37,"Clinton County, MI"
"20 CRAWFORD",6924,4111,2813,59.37,"CN260390",26,39,"Crawford County, MI"
"21 DELTA",18262,10263,7999,56.2,"CN260410",26,41,"Delta County, MI"
"22 DICKINSON",12659,6860,5799,54.19,"CN260430",26,43,"Dickinson County, MI"
"23 EATON",55330,32308,23022,58.39,"CN260450",26,45,"Eaton County, MI"
"24 EMMET",17605,10459,7146,59.41,"CN260470",26,47,"Emmet County, MI"
"25 GENESEE",211108,130649,80459,61.89,"CN260490",26,49,"Genesee County, MI"
"26 GLADWIN",12819,7381,5438,57.58,"CN260510",26,51,"Gladwin County, MI"
"27 GOGEBIC",7787,4426,3361,56.84,"CN260530",26,53,"Gogebic County, MI"
"28 GD. TRAVERSE",47363,28357,19006,59.87,"PA262300",26,55,"Grand Traverse County, MI"
"29 GRATIOT",17336,9561,7775,55.15,"CN260570",26,57,"Gratiot County, MI"
"30 HILLSDALE",19725,10356,9369,52.5,"CN260590",26,59,"Hillsdale County, MI"
"31 HOUGHTON",15502,8676,6826,55.97,"CN260610",26,61,"Houghton County, MI"
"32 HURON",16803,8484,8319,50.49,"CN260630",26,63,"Huron County, MI"
"33 INGHAM",137122,90952,46170,66.33,"CN260650",26,65,"Ingham County, MI"
"34 IONIA",26812,15218,11594,56.76,"PA262250",26,67,"Ionia County, MI"
"35 IOSCO",13813,7697,6116,55.72,"CN260690",26,69,"Iosco County, MI"
"36 IRON",5906,3361,2545,56.91,"CN260710",26,71,"Iron County, MI"
"37 ISABELLA",27515,17917,9598,65.12,"PA262000",26,73,"Isabella County, MI"
"38 JACKSON",71297,42102,29195,59.05,"PA261300",26,75,"Jackson County, MI"
"39 KALAMAZOO",126116,81428,44688,64.57,"CN260770",26,77,"Kalamazoo County, MI"
"40 KALKASKA",8149,4994,3155,61.28,"CN260790",26,79,"Kalkaska County, MI"
